EVENT_ID,CATEGORY,DISTRICT,TITLE,START_DATE,END_DATE,PLACE,LATITUDE,LONGITUDE,ORGANIZATION,SUBJECT,IS_FREE,URL,REGISTERED
155347,축제-기타,동대문구,[김희수아트센터] 수림뉴웨이브 2025 [결: 예술가의 시간],2025-10-16,2025-12-18,김희수아트센터 SPACE1,127.04281951646153,37.590705971349955,기타,시민,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155347&menuNo=200010,2025-09-25
154822,교육/체험,종로구,[세종예술아카데미] 당신의 말이 당신을 말한다,2025-10-16,2025-11-27,세종문화회관 세종예술아카데미 스퀘어홀,126.9760053,37.5726241,세종문화회관,기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154822&menuNo=200011,2025-08-14
155488,전시/미술,도봉구,[서울시립 사진미술관] 포토 디스커버리 프로젝트 《스토리지 스토리 : 또 다른 이야기》,2025-10-16,2025-11-23,서울시립 사진미술관 1층 로비,127.048947814686,37.6555150225578,서울시립미술관,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155488&menuNo=200009,2025-10-13
155544,전시/미술,종로구,황인선 개인전 [김치팝! Kimchipopped!],2025-10-16,2025-11-15,서울아트센터 도암 3층 도암갤러리,126.967906461707,37.6057079931502,기타,시민,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155544&menuNo=200009,2025-10-15
155605,전시/미술,은평구,"서울시립미술관 + 은평문화재단 협력전시 [SeMa Collection: 홈, 스윗 홈]",2025-10-16,2025-11-15,은평문화예술회관 전시실,126.927901672834,37.6036996869964,은평문화재단,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155605&menuNo=200009,2025-10-17
155473,전시/미술,종로구,[노화랑] 윤병락 [사계],2025-10-16,2025-11-05,"노화랑 1,2층 전시실",126.984085733694,37.5748603162364,기타,시민,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155473&menuNo=200009,2025-10-10
154302,교육/체험,송파구,[한성백제박물관] 2025 초등단체 비대면 [한성부터 서울까지](서울역사박물관 공동교육),2025-10-16,2025-10-31,학급 교실 (실시간 원격 화상 수업),127.12088940368128,37.51543881335773,한성백제박물관,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154302&menuNo=200011,2025-07-08
155117,교육/체험,성동구,"[성동구 구립도서관] 책과 음악 사이, 클래식 이야기",2025-10-16,2025-10-30,"성동구립, 금호, 성수도서관",127.034960654281,37.5591798757923,성동문화재단,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155117&menuNo=200011,2025-09-08
155626,전시/미술,용산구,"2025 국가무형유산 이수자 기획전시 [결, 시간의 흐름 속에서]",2025-10-16,2025-10-30,노들섬 노들갤러리 2관,126.958036465507,37.5176638307111,기타,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155626&menuNo=200009,2025-10-20
155517,기타,은평구,"[구립증산정보도서관] 개관 17주년 기념 공연 [상상 쑥쑥, 감성 쏙쏙! 매직 벌룬쇼]",2025-10-16,2025-10-27,증산동 주민센터 4층 강당,126.907671330325,37.5828094398328,은평구청,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155517&menuNo=200013,2025-10-14
155171,교육/체험,노원구,[서울시립 북서울미술관] 대학(원)생 전시 감상 프로그램 [캠퍼스 옆 미술관],2025-10-16,2025-10-23,"서울시립 북서울미술관 1,2층 전시실",127.066865579183,37.6406604547872,서울시립미술관,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155171&menuNo=200011,2025-09-11
